subject,predicate,object
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P217,112
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P217,KHW122
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P625,Point(-7.2678369 52.7692731)
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P841,http://www.wikidata.org/entity/Q2659
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q116166792
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126393245
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126474972
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130129244
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130308814
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P4057,KK010-095----
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P6375,"""about half a mile east of the Church"" (OS Letters)"
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P6375,"""on the right bank of the Glasagh stream in Mr Jer Healy's field near the Glasagh bridge in Kilmacar"" (Schools' Collection)"
