Q-code,Label
Q129088050,Walter McDonald: History of the Parish of Mooncoin
Q129176807,Grange Gráinseach
Q129181072,Eleanor Cantwell: Threecastles
Q129263926,Holy Well
Q129263929,Estate map Edward Hunt Esq 1855
Q129333352,Tom Lyng: Castlecomer Connections (1984)
Q129348459,Spa Well
Q129407299,Aber & Clements map of Galmoy
Q129410186,Margaret Hayes: Halfway Between Dublin and Cork
Q129421697,1927 Ordnance Survey map of Kilkenny
Q129423431,1815 John Coghill Estate map
Q129570937,Celeste Ray/ Finbar McCormick: Holy Wells of Ireland - Sacred Realms and Popular Domains
Q129571698,"Historical, Social and Pictoral Sketches of Freshford"
Q129833398,Q129833398
Q129834133,Q129834133
Q129834572,Q129834572
Q129836610,Q129836610
Q129839662,Q129839662
Q129903535,Q129903535
Q129905816,Q129905816
Q129906303,St. Canice's Well
Q129907246,Q129907246
Q129907831,Q129907831
Q129914816,Q129914816
Q129916785,Q129916785
Q129918417,Q129918417
Q129919689,Q129919689
Q129920399,Q129920399
Q129992765,Q129992765
Q129994261,Q129994261
Q129996423,Q129996423
Q129997144,Q129997144
Q129997565,Q129997565
Q129998019,Q129998019
Q130129244,"John Meagher: Conahy, 1998"
Q130138050,Q130138050
Q130139598,Q130139598
Q130140078,Q130140078
Q130140226,Q130140226
Q130223691,Q130223691
Q130223793,Q130223793
Q130223869,Q130223869
Q130223884,Q130223884
Q130235138,Q130235138
Q130235176,Q130235176
Q130235257,Q130235257
Q130235307,Q130235307
Q130241076,Q130241076
Q130245242,James & Noel Ryan: Windgap - Its History and Heritage (2022)
Q130265580,"Bruce Misstear: Wells and Wellbeing - The Hydrogeology of Irish Holy Wells, 2023"
Q130265908,"Alan Counihan/ Dearbhala Ledwidge: Meitheal na bPáirceanna - The Kilkenny Field Name Recording Project, 2016"
Q130265942,The Kilkenny Field Name Recording Project
Q130266394,"Michael Delaney: Holy Wells, in: Deenside, April 1967, p. 5"
Q130266414,St Fintan's Well
Q130266513,St Kieran's Well
Q130266563,Q130266563
Q130266693,Q130266693
Q130266736,"The Holy Well, in: Deenside, June 1964, p. 10"
Q130266782,"Ladywell, in: Deenside, September 1965, p. 6"
Q130266854,"Michael Delaney: Ladywell, in: Deenside, July-August 1966, p. 16"
Q130266875,"Eamonn Brennan: Old Tradition Revived, in: Deenside, Autumn 1980, p. 1"
Q130284129,6 inch Second Edition Ordnance Survey map of County Kilkenny
Q130294561,Kathleen Holohan: St. Moling - Patron Saint of Tullogher-Rosbercon
Q130308814,"Dermot & Julie Dorgan: Ladywell, Kilkenny 2008"
Q130313770,Friday Well
Q130313951,Dowlings Spring
Q130313956,Lodge Well
Q130314047,Tubberkillen
